latitude,longitude,target_speed,way_maxspeed,speed_osrm,elevation,fwd_azimuth,way_type,way_surface,node:intersection,node:railway,node:crossing,node:highway,node:stop,start_stop,azimuth_diff,elevation_diff
49.201810847667645,16.580797613797525,9.2249651041304,30.0,6.7489319955110565,291.76927945451735,-34.89777167336778,residential,asphalt,,,,,,0,0.0,0.2378954628267138
49.20181822242724,16.580789763248358,9.066864758993905,30.0,6.693379483587236,292.00717491734406,-34.89777167336778,residential,asphalt,,,,,,0,0.0,0.2378954628267138
49.2018255971863,16.580781912696843,8.90876441385741,30.0,6.637826971663416,292.2450703801708,-34.89777167336778,residential,asphalt,,,,,,0,0.0,0.2378954628267138
49.20183297194481,16.580774062143,8.750664068720916,30.0,6.582274459739596,292.4829658429975,-34.89777167336778,residential,asphalt,,,,,,0,0.0,0.2378954628267138
49.20184034670278,16.58076621158682,8.592563723584421,30.0,6.526721947815775,292.7208613058242,-34.89777167336778,residential,asphalt,,,,,,0,0.0,0.2378954628267138
49.20184772146021,16.5807583610283,8.434463378447926,30.0,6.471169435891955,292.9587567686509,-34.89777167336778,residential,asphalt,,,,,,0,0.0,0.2378954628267138
49.20185510239248,16.580750523998628,8.186684255545623,30.0,6.478782267103046,293.0,-34.81452989096043,residential,asphalt,,,,,,0,0.0832417824073488,0.0412432313490853
49.20186248461936,16.58074268980447,7.920097094968353,30.0,6.499642559787532,293.0,-34.81452989096043,residential,asphalt,,,,,,0,0.0,0.0
49.20186986684568,16.580734855607975,7.653509934391083,30.0,6.520502852472017,293.0,-34.81452989096043,residential,asphalt,,,,,,0,0.0,0.0
49.20187724907149,16.580727021409142,7.386922773813813,30.0,6.541363145156502,293.0,-34.81452989096043,residential,asphalt,,,,,,0,0.0,0.0
49.201884631296736,16.58071918720799,7.120335613236543,30.0,6.562223437840988,293.0,-34.81452989096043,residential,asphalt,,,,,,0,0.0,0.0
49.20189201352145,16.580711353004496,6.853748452659273,30.0,6.583083730525473,293.0,-34.81452989096043,residential,asphalt,,,,,,0,0.0,0.0
49.20189940720583,16.58070354427083,6.573493540655107,30.0,6.60323495551192,293.0970486653576,-34.132196526905815,residential,asphalt,,,,,,0,0.6823333640546139,0.0970486653575903
49.20190685004344,16.58069584478724,6.234616416270349,30.0,6.620344925511475,293.6103477653443,-34.132196526905815,residential,asphalt,,,,,,0,0.0,0.513299099986682
49.20191429288053,16.580688145301337,5.89573929188559,30.0,6.63745489551103,294.1236468653309,-34.132196526905815,residential,asphalt,,,,,,0,0.0,0.5132990999866252
49.201921735717086,16.580680445813126,5.556862167500832,30.0,6.654564865510585,294.6369459653175,-34.132196526905815,residential,asphalt,,,,,,0,0.0,0.5132990999866252
49.20192917644163,16.580672742425346,5.217985043116073,30.0,6.5,295.0,-35.00993543209566,residential,asphalt,,,uncontrolled,crossing,,0,0.8777389051898439,0.3630540346824773
49.20193654111801,16.580664869844075,4.879107918731314,30.0,6.5,295.0,-35.00993543209566,residential,asphalt,,,,,,0,0.0,0.0
49.20194390579385,16.58065699726045,4.540230794346556,30.0,6.5,295.0,-35.00993543209566,residential,asphalt,,,,,,0,0.0,0.0
49.20195127046914,16.5806491246745,4.201353669961797,30.0,6.5,295.0,-35.00993543209566,residential,asphalt,,,,,,0,0.0,0.0
49.201958640250496,16.580641263264855,3.779809353290159,30.0,6.612566201717413,295.0,-34.75368704983484,residential,asphalt,,,,,,0,0.2562483822608215,0.0
49.20196602792476,16.58063344102276,3.068599881245357,30.0,7.119563439595906,295.0,-34.75368704983484,residential,asphalt,,,,,,0,0.0,0.0
49.20197341559849,16.580625618778335,2.357390409200556,30.0,7.626560677474398,295.0,-34.75368704983484,residential,asphalt,indistinct,,,,,0,0.0,0.0
49.20197975633227,16.580627797796367,2.48417898525042,50.0,2.391304347826088,295.0,54.0386133051795,residential,asphalt,,,,,,0,88.79230035501433,0.0
49.20198503661738,16.580638904595016,2.682951649146431,50.0,2.391304347826088,295.0,54.0386133051795,residential,asphalt,,,,,,0,0.0,0.0
49.20199031690142,16.58065001139601,2.881724313042442,50.0,2.391304347826088,295.0,54.0386133051795,residential,asphalt,,,,,,0,0.0,0.0
49.20199559718439,16.580661118199387,3.0804969769384525,50.0,2.391304347826088,295.0,54.0386133051795,residential,asphalt,,,,,,0,0.0,0.0
49.20200087746628,16.580672225005124,3.2792696408344635,50.0,2.391304347826088,295.0,54.0386133051795,residential,asphalt,,,,,,0,0.0,0.0
49.20200615856066,16.580683330908897,3.478042304730474,50.0,2.448928682128235,294.9862121228718,53.82398005077077,residential,asphalt,,,,,,0,0.2146332544087386,-0.0137878771282089
49.20201146607296,16.58069440744878,3.676814968626485,50.0,4.37779239491437,294.5246894659763,53.82398005077077,residential,asphalt,,,,,,0,0.0,-0.4615226568955108
49.20201677358419,16.580705483991036,3.875587632522496,50.0,6.306656107700505,294.0631668090808,53.82398005077077,residential,asphalt,,,,,,0,0.0,-0.4615226568955108
49.20202208109436,16.58071656053566,4.074360296418507,50.0,8.23551982048664,293.60164415218526,53.82398005077077,residential,asphalt,,,,,,0,0.0,-0.4615226568955108
49.20202738860347,16.580727637082667,4.273132960314518,50.0,10.164383533272776,293.14012149528975,53.82398005077077,residential,asphalt,,,,,,0,0.0,-0.4615226568955108
49.20203266352317,16.580738749753714,4.419266916394337,50.0,10.616140557410024,293.0,54.19255721747006,residential,asphalt,,,,,,0,0.3685771666992963,-0.1401214952897476
49.20203792423427,16.580749878175116,4.542451937216816,50.0,10.42392231748202,293.0,54.19255721747006,residential,asphalt,,,,,,0,0.0,0.0
